AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201911,56851,148158,359898,150010,104.64529908618519,201911,150010
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201912,57470,148825,362109,151049,105.13996337387259,201912,151049
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202001,58335,150446,365431,152605,106.26008022809035,202001,152605
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202002,59819,153577,372022,154467,108.54131284845379,202002,154467
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202003,61052,155594,375577,155790,110.09046803191409,202003,155790
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202004,62451,157902,379704,157074,111.87918238886812,202004,157074
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202005,63354,158488,380317,157853,112.57228574400602,202005,157853
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202006,65199,161490,386829,160009,114.96359245127825,202006,160009
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202007,67136,164628,393357,163208,117.42070078683955,202007,163208
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202008,68285,166802,395738,166056,118.98226746753868,202008,166056
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202009,69078,168224,397431,168511,119.92929535081697,202009,168511
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202010,69299,168554,399238,170760,120.29940601518088,202010,170760
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,202011,69993,169306,403409,173004,121.07388267960152,202011,173004
